"response_id","accomm_type_used"
"GEN24_1001412","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001417","Backpackers"
"GEN24_1001417","Youth Hostel, YMCA, YWCA"
"GEN24_1001423","Backpackers"
"GEN24_1001428","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001429","Hotel"
"GEN24_1001429","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001431","Backpackers"
"GEN24_1001431","Youth Hostel, YMCA, YWCA"
"GEN24_1001432","Backpackers"
"GEN24_1001434","Hotel"
"GEN24_1001440","Hotel"
"GEN24_1001446","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001447","Staying with family or friends"
"GEN24_1001450","Hotel"
"GEN24_1001458","Hotel"
"GEN24_1001461","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001465","Bed and Breakfast"
"GEN24_1001465","Staying with family or friends"
"GEN24_1001478","Backpackers"
"GEN24_1001478","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001481","Staying with family or friends"
"GEN24_1001485","Hotel"
"GEN24_1001485","Staying with family or friends"
"GEN24_1001488","Staying with family or friends"
"GEN24_1001493","Hotel"
"GEN24_1001493","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001507","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001507","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001507","Staying with family or friends"
"GEN24_1001511","Staying with family or friends"
"GEN24_1001514","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001514","Motel, Motor Inn or Serviced Apartment"
