"response_id","travelled_with"
"GEN24_1001568","My husband, wife or partner"
"GEN24_1001569","Child/children aged under 15"
"GEN24_1001569","My husband, wife or partner"
"GEN24_1001571","Other adult(s) who are not family / relatives"
"GEN24_1001572","No one, I was on my own"
"GEN24_1001579","My husband, wife or partner"
"GEN24_1001587","No one, I was on my own"
"GEN24_1001592","Other adult family / relative"
"GEN24_1001595","My husband, wife or partner"
"GEN24_1001600","Child/children aged 15 or older"
"GEN24_1001600","Child/children aged under 15"
"GEN24_1001600","My husband, wife or partner"
"GEN24_1001610","My husband, wife or partner"
"GEN24_1001610","Other adult(s) who are not family / relatives"
"GEN24_1001612","No one, I was on my own"
"GEN24_1001613","My husband, wife or partner"
"GEN24_1001615","No one, I was on my own"
"GEN24_1001617","No one, I was on my own"
"GEN24_1001622","My husband, wife or partner"
"GEN24_1001623","Other adult family / relative"
"GEN24_1001624","My husband, wife or partner"
"GEN24_1001637","My husband, wife or partner"
"GEN24_1001641","Other adult(s) who are not family / relatives"
"GEN24_1001646","No one, I was on my own"
"GEN24_1001651","No one, I was on my own"
"GEN24_1001658","My husband, wife or partner"
"GEN24_1001659","No one, I was on my own"
"GEN24_1001662","My husband, wife or partner"
"GEN24_1001665","No one, I was on my own"
"GEN24_1001666","Child/children aged 15 or older"
"GEN24_1001667","My husband, wife or partner"
"GEN24_1001669","My husband, wife or partner"
"GEN24_1001670","My husband, wife or partner"
"GEN24_1001671","Other adult(s) who are not family / relatives"
"GEN24_1001675","No one, I was on my own"
"GEN24_1001681","Other adult(s) who are not family / relatives"
"GEN24_1001683","Child/children aged under 15"
"GEN24_1001683","My husband, wife or partner"
"GEN24_1001688","Other adult family / relative"
"GEN24_1001692","Child/children aged under 15"
"GEN24_1001692","My husband, wife or partner"
"GEN24_1001693","My husband, wife or partner"
"GEN24_1001696","My husband, wife or partner"
"GEN24_1001697","Child/children aged under 15"
"GEN24_1001697","My husband, wife or partner"
"GEN24_1001700","Child/children aged under 15"
"GEN24_1001701","No one, I was on my own"
"GEN24_1001702","No one, I was on my own"
"GEN24_1001705","No one, I was on my own"
"GEN24_1001711","My husband, wife or partner"
"GEN24_1001717","My husband, wife or partner"
"GEN24_1001717","Other adult(s) who are not family / relatives"
"GEN24_1001718","Other adult family / relative"
"GEN24_1001727","My husband, wife or partner"
"GEN24_1001728","Child/children aged under 15"
"GEN24_1001733","No one, I was on my own"
"GEN24_1001738","No one, I was on my own"
"GEN24_1001740","My husband, wife or partner"
"GEN24_1001740","Other adult(s) who are not family / relatives"
"GEN24_1001742","My husband, wife or partner"
"GEN24_1001746","Other adult family / relative"
"GEN24_1001747","My husband, wife or partner"
"GEN24_1001749","Child/children aged under 15"
"GEN24_1001749","Other adult family / relative"
"GEN24_1001755","My husband, wife or partner"
"GEN24_1001757","My husband, wife or partner"
"GEN24_1001758","Other adult family / relative"
"GEN24_1001760","No one, I was on my own"
"GEN24_1001762","No one, I was on my own"
"GEN24_1001763","No one, I was on my own"
"GEN24_1001764","Other adult family / relative"
"GEN24_1001765","No one, I was on my own"
"GEN24_1001766","My husband, wife or partner"
"GEN24_1001771","Child/children aged 15 or older"
"GEN24_1001771","Child/children aged under 15"
"GEN24_1001771","My husband, wife or partner"
"GEN24_1001773","Child/children aged under 15"
"GEN24_1001773","My husband, wife or partner"
"GEN24_1001775","My husband, wife or partner"
"GEN24_1001779","My husband, wife or partner"
"GEN24_1001782","No one, I was on my own"
"GEN24_1001785","Other adult family / relative"
"GEN24_1001790","Other adult family / relative"
"GEN24_1001791","No one, I was on my own"
"GEN24_1001793","My husband, wife or partner"
"GEN24_1001794","No one, I was on my own"
"GEN24_1001795","No one, I was on my own"
"GEN24_1001796","Other adult(s) who are not family / relatives"
"GEN24_1001797","My husband, wife or partner"
"GEN24_1001798","Other adult family / relative"
"GEN24_1001803","No one, I was on my own"
"GEN24_1001805","No one, I was on my own"
"GEN24_1001806","My husband, wife or partner"
"GEN24_1001809","No one, I was on my own"
"GEN24_1001810","Other adult(s) who are not family / relatives"
"GEN24_1001811","My husband, wife or partner"
"GEN24_1001813","Child/children aged under 15"
"GEN24_1001818","Other adult family / relative"
"GEN24_1001819","No one, I was on my own"
"GEN24_1001822","No one, I was on my own"
"GEN24_1001826","Other adult family / relative"
"GEN24_1001832","No one, I was on my own"
"GEN24_1001835","No one, I was on my own"
"GEN24_1001841","Other adult family / relative"
"GEN24_1001843","No one, I was on my own"
"GEN24_1001844","Child/children aged under 15"
"GEN24_1001848","My husband, wife or partner"
"GEN24_1001851","Child/children aged under 15"
"GEN24_1001852","Other adult family / relative"
"GEN24_1001853","My husband, wife or partner"
"GEN24_1001854","My husband, wife or partner"
"GEN24_1001855","Other adult family / relative"
"GEN24_1001855","Other adult(s) who are not family / relatives"
"GEN24_1001856","My husband, wife or partner"
"GEN24_1001857","My husband, wife or partner"
"GEN24_1001861","My husband, wife or partner"
"GEN24_1001862","My husband, wife or partner"
"GEN24_1001864","No one, I was on my own"
