==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
397 0.0001597266    866 0.6466872 1.2706776 0.02076923
398 0.0001596691    868 0.6463678 1.2707899 0.02076924
399 0.0001590793    869 0.6462081 1.2708705 0.02076945
400 0.0001584844    870 0.6460490 1.2713462 0.02077358
401 0.0001580260    871 0.6458906 1.2712468 0.02076368
402 0.0001570107    872 0.6457325 1.2719272 0.02077084
403 0.0001570107    873 0.6455755 1.2718683 0.02076977
404 0.0001569669    874 0.6454185 1.2718900 0.02076984
405 0.0001565794    876 0.6451046 1.2718900 0.02076984
406 0.0001560430    877 0.6449480 1.2720256 0.02077926
407 0.0001553833    878 0.6447920 1.2725846 0.02078477
408 0.0001552148    880 0.6444812 1.2729974 0.02078695
409 0.0001550900    881 0.6443260 1.2729946 0.02078697
410 0.0001550900    882 0.6441709 1.2729946 0.02078697
411 0.0001548623    883 0.6440158 1.2729800 0.02080325
412 0.0001541237    885 0.6437061 1.2738431 0.02081770
413 0.0001535216    886 0.6435519 1.2739636 0.02081796
414 0.0001527929    887 0.6433984 1.2740748 0.02082047
415 0.0001524488    890 0.6429245 1.2743130 0.02082057
416 0.0001515450    898 0.6416265 1.2751167 0.02082534
417 0.0001509720    901 0.6411719 1.2750314 0.02081853
418 0.0001503630    903 0.6408700 1.2753166 0.02081751
419 0.0001498974    904 0.6407196 1.2755522 0.02081810
420 0.0001489686    905 0.6405697 1.2760318 0.02082488
421 0.0001489368    910 0.6398063 1.2759819 0.02082308
422 0.0001487714    911 0.6396574 1.2759819 0.02082308
423 0.0001482869    917 0.6387647 1.2763876 0.02082566
424 0.0001480020    920 0.6383199 1.2762319 0.02082345
425 0.0001471915    921 0.6381719 1.2765505 0.02082419
426 0.0001471249    922 0.6380247 1.2766491 0.02082418
427 0.0001468826    923 0.6378776 1.2765947 0.02082442
428 0.0001463481    925 0.6375838 1.2766741 0.02082677
429 0.0001459512    927 0.6372911 1.2770180 0.02083666
430 0.0001447882    928 0.6371452 1.2772469 0.02083816
431 0.0001443263    929 0.6370004 1.2779110 0.02084154
432 0.0001442722    930 0.6368560 1.2783816 0.02084736
433 0.0001440978    931 0.6367118 1.2783087 0.02084504
434 0.0001439283    933 0.6364236 1.2782979 0.02084546
435 0.0001437708    934 0.6362796 1.2781848 0.02082603
436 0.0001427403    936 0.6359921 1.2790385 0.02083283
437 0.0001425105    937 0.6358494 1.2792012 0.02083510
438 0.0001419639    938 0.6357069 1.2795178 0.02084516
439 0.0001412063    939 0.6355649 1.2797832 0.02084611
440 0.0001412006    940 0.6354237 1.2798272 0.02084614
