term,estimate,std_error,t_value,p_value,percent_effect,dollar_effect
country_of_residence_japan,0.09137011263686176,0.029177555742379083,3.131520455092501,0.0017413276513738908,9.56744531841467,327.3548535363771
country_of_residence_belgium,0.20287574773363926,0.06738652645154836,3.0106277681415903,0.002610055481081717,22.492025967318916,769.5757457946054
activity_a_beach,-0.03515372182414286,0.011696380857509564,-3.0055213020506852,0.002654265046650559,-3.454300696018664,-118.19059955737133
activity_playing_golf,0.08127819525974841,0.027353071331487032,2.9714467627694288,0.002967224937560087,8.467260537502863,289.71148941647505
departure_location_christchurch,0.0373569199866678,0.013527043366262195,2.761647092803717,0.0057558559439899815,3.806346032201513,130.23600411719556
country_of_residence_italy,0.16291647844912943,0.05929946530722889,2.747351558822051,0.006012786732014076,17.693838586401366,605.4034014492263
activity_a_casino,0.06813635840558507,0.025534053181609173,2.668450555850651,0.007625816906067665,7.051127173706462,241.25778892849954
travel_party_child_children_aged_15_or_older,-0.05624976442899087,0.021458119887415493,-2.621374320029761,0.008763663025066669,-5.469699666198435,-187.148467906065
arrival_season_spring,0.0354732942880009,0.013645247204227244,2.5996813217873704,0.009337303642408926,3.6109977703923324,123.55206713037552
transport_tour_bus,0.039548373556900544,0.015796860307715592,2.503559111526998,0.012302338801905914,4.034082265375893,138.02811149535185
country_of_residence_spain,0.13387836213987375,0.0545419380430177,2.4545948850274213,0.014112074108202283,14.325374824712679,490.1497548746452
accomm_backpackers,-0.05398863979506802,0.022116238159865367,-2.4411312360092925,0.014649204062351383,-5.255713041417742,-179.8268101507809
itinerary_region_taranaki,0.05464231360572601,0.0226600909116301,2.4113898668288796,0.015900034245984105,5.616277205123832,192.16369058983537
accomm_a_house_flat_apartment_timeshare_you_own,-0.11183284898937523,0.0466475466245776,-2.3974004440021908,0.016520198701625664,-10.580628960820537,-362.02143085423774
itinerary_region_nelson,0.04908654936733919,0.020575354284678642,2.3856964350738443,0.017055271024069688,5.031125058055652,172.14242169046517
visit_purpose_visiting_friends_relatives_other,-0.13554313109587246,0.057205463071108895,-2.369408860957675,0.01782517360984389,-12.675850174655523,-433.7104565820496
arrival_year_2024,0.03436266694691548,0.01468467202401966,2.3400363924171135,0.019290801181772628,3.495988441505893,119.61696630043151
activity_air_activities_such_as_paragliding_hang_gliding_ballooning_skydiving,0.05764160685400638,0.024759842153340893,2.328028042223552,0.019919682683717747,5.933526916887777,203.01854572332178
activity_hunting,0.14464650421484476,0.06330424813387746,2.2849415083319937,0.02232578339369369,15.563098737287962,532.4990881224355
visit_purpose_to_go_sightseeing,0.06508615766652481,0.0286424891883118,2.2723638730772273,0.02307420068491015,6.725097227649557,230.1025137544141
maori_exp_some_other_maori_cultural_activity,-0.04325047477191564,0.019061672697330622,-2.2689758374653235,0.023279489917454235,-4.232851252388414,-144.82909027971135
decision_its_environmentally_friendly_image,-0.03741457774152674,0.016608833662368892,-2.252691459382727,0.024288476229274665,-3.672330052237094,-125.65058135984285
decision_new_zealands_food_and_wine,0.044881827371999944,0.020293518213187586,2.211633631019871,0.027002285573989256,4.590425535103182,157.06367046813133
decision_other_movies_that_were_filmed_in_new_zealand,-0.08441915020980244,0.03828708774368093,-2.204898705667039,0.027471569074311534,-8.095404295403686,-276.9882449538525
decision_i_wanted_to_visit_friends_or_family_in_new_zealand,0.032001313546212586,0.0145367364236702,2.2014097671953916,0.027717429977953425,3.2518861565467683,111.26488640017973
other_countries_visited_other_countries,-0.06107326785493668,0.02893913115736581,-2.1104043353213053,0.03483486220131576,-5.924568979945133,-202.71204549904527
accomm_another_place_where_you_pay_to_park_a_caravan_or_campervan_motorhome_overnight,0.06966528196020906,0.03336961414160859,2.0876861705554868,0.0368376916050776,7.21492534912771,246.86222417113893
activity_extreme_ride_e_g_luge_fly_by_wire_zorbing_flying_fox_zip_lining,0.03722859476616081,0.017913000070080787,2.0783003751751177,0.03769332980130886,3.7930259146286893,129.7802497342835
transport_train,-0.045110641936576774,0.021719671115968543,-2.076948665369566,0.037817938134202034,-4.410828572838077,-150.91867195272687
accomm_free_camping_staying_in_a_tent_caravan_campervan_motorhome,-0.059401601399679795,0.028667182102128538,-2.072111628832512,0.03826671848373558,-5.767174718944668,-197.3267233422408
travel_party_my_husband_wife_or_partner,-0.035641514019990266,0.017721430866667113,-2.011209720487621,0.04431555070966486,-3.5013834504481145,-119.80155918843154
country_of_residence_malaysia,0.08863581132804406,0.04454675021136861,1.9897256456975763,0.04663359289269427,9.268264121445856,317.1182215353497
activity_a_live_performance_of_music,0.03736969479912565,0.018822509647468795,1.985372593720574,0.04711549659342364,3.8076721472744213,130.2813777975268
activity_skiing_snowboarding_sledging_or_other_snow_sport,0.051228453146707605,0.026258259572346624,1.9509462539039661,0.05107618643482055,5.256332722242618,179.84801283539682
activity_bungy_jumping,0.05798784362375058,0.029939351819163778,1.9368436556008986,0.052777315680476194,5.970211349438315,204.27372165012144
activity_food_and_or_wine_alcohol_event_or_festival,0.032567090706964966,0.01726708448544491,1.8860793050741729,0.05929750190232314,3.310320244316145,113.26423749199718
maori_exp_visit_a_maori_marae_a_maori_meeting_place,-0.03266939796467641,0.017370600954787437,-1.8807292879336186,0.06002202390645833,-3.214151731321413,-109.97378445688977
activity_horse_riding_horse_trekking,0.06089529146161128,0.033507102680391365,1.8173845719357797,0.06917192094102786,6.2787625421979465,214.83095267185467
itinerary_region_waikato,0.023719118185025145,0.013143510194397131,1.8046258445583454,0.07114699567931146,2.4002653768772753,82.12626200055405
maori_exp_eat_maori_traditional_food,0.036351793297224065,0.020144154963415553,1.8045826872978155,0.07115375414815511,3.7020599224268924,126.66780351034787
transport_other_bus_service,0.049284009708276344,0.027729954602215376,1.7772841829441361,0.0755353833880029,5.0518665875659785,172.85210333786426
itinerary_region_hawkes_bay,0.0336491741431466,0.019111225288573532,1.7607020813712666,0.07830280907785304,3.422171135723695,117.09127082807052
decision_none_of_these,-0.07100773751739581,0.04096440343521391,-1.733400991172643,0.08303850995054131,-6.8545315047118915,-234.53117129048334
activity_glow_worm_tour,0.023436582133887218,0.014258517097713402,1.6436900116103712,0.10025461845233245,2.371337697010878,81.13648718704293
activity_a_glacier_e_g_fox_franz_josef_hooker_valley,0.025089247542729644,0.015683520178416937,1.5997204235600444,0.10967505781360477,2.5406631462961737,86.93004082712311
transport_the_ferry_between_the_north_island_and_the_south_island,0.029471919339107974,0.01845395905193171,1.597051302442493,0.11026871363221927,2.991051449792681,102.34029844749557
activity_garden_visit_or_flower_show,-0.02021342322757502,0.01280117725065303,-1.579028462131783,0.11434398516752096,-2.001050153558759,-68.46691652121353
