response_id,experience_more_maori_culture,improve_maori_culture_understanding,enjoy_maori_culture_experience
GEN24_1002414,Agree,NA,NA
GEN24_1002416,Agree,Agree,Agree
GEN24_1002426,Agree,NA,NA
GEN24_1002428,Don't know / Not sure,NA,NA
GEN24_1002430,Disagree,NA,NA
GEN24_1002435,Agree,Agree,Agree
GEN24_1002436,Agree,NA,NA
GEN24_1002437,Disagree,NA,NA
GEN24_1002438,Disagree,NA,NA
GEN24_1002442,Agree,NA,NA
GEN24_1002443,Don't know / Not sure,NA,NA
GEN24_1002445,Agree,NA,NA
GEN24_1002446,Disagree,NA,NA
GEN24_1002447,Disagree,NA,NA
GEN24_1002450,Agree,Agree,Agree
GEN24_1002451,Don't know / Not sure,NA,Agree
GEN24_1002452,Don't know / Not sure,NA,NA
GEN24_1002466,Don't know / Not sure,NA,NA
GEN24_1002470,Disagree,NA,NA
GEN24_1002475,Disagree,NA,NA
GEN24_1002478,Don't know / Not sure,NA,NA
GEN24_1002481,Agree,NA,NA
GEN24_1002488,Agree,NA,NA
GEN24_1002491,Agree,NA,NA
GEN24_1002496,Don't know / Not sure,NA,NA
GEN24_1002498,Agree,NA,NA
GEN24_1002505,Disagree,Agree,Agree
GEN24_1002507,Agree,NA,NA
GEN24_1002508,Agree,NA,NA
GEN24_1002509,Agree,Agree,Agree
GEN24_1002510,Disagree,NA,NA
GEN24_1002513,Agree,Agree,Agree
GEN24_1002514,Don't know / Not sure,NA,NA
GEN24_1002519,Agree,NA,NA
GEN24_1002524,Agree,NA,NA
GEN24_1002525,Don't know / Not sure,NA,NA
GEN24_1002530,Don't know / Not sure,NA,NA
GEN24_1002536,Disagree,NA,NA
GEN24_1002538,Don't know / Not sure,NA,NA
GEN24_1002544,Don't know / Not sure,NA,NA
GEN24_1002546,Disagree,NA,NA
GEN24_1002549,Agree,Agree,Agree
GEN24_1002550,Agree,NA,NA
GEN24_1002553,Disagree,NA,NA
GEN24_1002554,Disagree,Agree,Agree
GEN24_1002556,Disagree,NA,NA
GEN24_1002559,Disagree,NA,NA
GEN24_1002561,Agree,NA,NA
GEN24_1002566,Don't know / Not sure,NA,NA
GEN24_1002580,Agree,Agree,Agree
GEN24_1002582,Agree,Agree,Agree
GEN24_1002583,Agree,NA,NA
GEN24_1002584,Agree,Agree,Agree
GEN24_1002585,Disagree,NA,NA
GEN24_1002588,Don't know / Not sure,NA,NA
GEN24_1002592,Agree,NA,NA
GEN24_1002593,Don't know / Not sure,NA,NA
GEN24_1002594,Agree,NA,NA
GEN24_1002597,Agree,NA,NA
GEN24_1002607,Agree,NA,NA
GEN24_1002620,Agree,NA,NA
GEN24_1002627,Agree,NA,NA
GEN24_1002629,Agree,NA,NA
GEN24_1002635,Don't know / Not sure,NA,NA
GEN24_1002640,Agree,NA,NA
GEN24_1002642,Agree,NA,NA
GEN24_1002666,Agree,Agree,Agree
GEN24_1002667,Don't know / Not sure,NA,NA
GEN24_1002668,Don't know / Not sure,NA,NA
GEN24_1002670,Don't know / Not sure,NA,NA
GEN24_1002671,Agree,NA,NA
GEN24_1002672,Don't know / Not sure,NA,NA
GEN24_1002673,Disagree,NA,NA
GEN24_1002674,Agree,Agree,Agree
GEN24_1002677,Agree,Agree,Agree
GEN24_1002681,Disagree,NA,NA
GEN24_1002687,Disagree,NA,NA
GEN24_1002688,Agree,NA,NA
GEN24_1002694,Agree,Agree,Agree
GEN24_1002707,Agree,NA,NA
GEN24_1002717,Agree,NA,NA
GEN24_1002725,Agree,Agree,Agree
GEN24_1002727,Agree,NA,NA
GEN24_1002731,Disagree,NA,NA
GEN24_1002733,Agree,NA,NA
GEN24_1002741,Agree,NA,NA
GEN24_1002753,Disagree,NA,NA
GEN24_1002758,Agree,NA,NA
GEN24_1002760,Disagree,NA,NA
GEN24_1002762,Disagree,NA,NA
GEN24_1002763,Agree,NA,NA
GEN24_1002770,Don't know / Not sure,NA,NA
GEN24_1002771,Disagree,NA,NA
GEN24_1002774,Agree,NA,NA
GEN24_1002778,Disagree,Disagree,Agree
GEN24_1002782,Agree,NA,NA
GEN24_1002786,Don't know / Not sure,NA,NA
GEN24_1002794,Disagree,NA,NA
GEN24_1002797,Agree,NA,NA
GEN24_1002799,Don't know / Not sure,NA,NA
GEN24_1002801,Disagree,NA,NA
GEN24_1002803,Agree,NA,NA
